text,label
부산광역시 성북구 테헤란2거리,정상
광주광역시 관악구 논현0길 의 위치를 파악할 수 없습니다.,비정상
전라북도 양구군 압구정가,정상
전라남도 화천군 선릉55가 (성진백류리) 는 삭제된 주소입니다.,비정상
울산광역시 강북구 강남대거리 (지아박송마을),정상
전라남도 홍천군 선릉거리 (미경박동),정상
광주광역시 강동구 봉은사5길 의 위치를 파악할 수 없습니다.,비정상
광주광역시 은평구 반포대78로 (상훈권이동),정상
경상북도 김포시 논현6가,정상
강원도 안양시 영동대길 은 무슨 뜻인가요?,비정상
대구광역시 용산구 가락4길 (현주박마을),정상
울산광역시 도봉구 양재천로 의 위치를 파악할 수 없습니다.,비정상
전라북도 광명시 영동대662길 (정희김김리) 어떤 장소인지 몰라요,비정상
광주광역시 송파구 서초대07거리,정상
경상남도 광명시 석촌호수거리,정상
전라남도 연천군 학동9로,정상
울산광역시 동대문구 선릉거리 (민준박오리),정상
전라남도 동두천시 도산대647길 (우진차면) 다음주 배송 예정,비정상
경상북도 평택시 백제고분62길,정상
경상남도 부천시 개포7로,정상
인천광역시 마포구 백제고분35가 에서 회의가 있었습니다.,비정상
울산광역시 강북구 서초중앙거리,정상
대구광역시 종로구 역삼거리 의 위치를 파악할 수 없습니다.,비정상
경상남도 청주시 청원구 백제고분69가,정상
대전광역시 광진구 논현길 는 삭제된 주소입니다.,비정상
전라북도 성남시 중원구 오금거리 추가 정보 없음,비정상
경상북도 고양시 덕양구 서초중앙92가,정상
충청북도 군포시 강남대로 (옥순박마을) 의 위치를 파악할 수 없습니다.,비정상
세종특별자치시 남구 압구정64거리 잘못된 주소라고 생각해요,비정상
광주광역시 중구 테헤란4로 (상호권읍) 잘못된 주소라고 생각해요,비정상
충청남도 동두천시 반포대길 (영미최안읍) 잘못된 주소라고 생각해요,비정상
대전광역시 마포구 서초중앙05로 (도현강임면) 은 무슨 뜻인가요?,비정상
울산광역시 성북구 논현153로 잘못된 주소라고 생각해요,비정상
인천광역시 성북구 개포가 (성호이리),정상
울산광역시 강동구 학동1길 그리고 이름은 권지혜,비정상
부산광역시 서구 영동대로 의 위치를 파악할 수 없습니다.,비정상
인천광역시 동작구 백제고분로 추가 정보 없음,비정상
경기도 안산시 상록구 서초중앙길,정상
경기도 성남시 논현거리 (지훈황이마을),정상
대전광역시 성동구 봉은사가 (순자김박동) 은 무슨 뜻인가요?,비정상
제주특별자치도 양양군 영동대961거리 그리고 이름은 강현우,비정상
전라남도 춘천시 논현가 (진우차마을) 의 위치를 파악할 수 없습니다.,비정상
광주광역시 중구 서초대가 (예원하이마을) 과 같은 유사 주소 있음,비정상
경상북도 증평군 반포대거리 (도현이마을),정상
서울특별시 노원구 가락길 (선영김면),정상
강원도 안산시 백제고분가 (준서손마을),정상
전라남도 강릉시 언주길 에서 회의가 있었습니다.,비정상
광주광역시 강북구 테헤란거리 (영길홍마을),정상
세종특별자치시 서구 양재천1거리,정상
울산광역시 은평구 언주길 (재현박리) 는 삭제된 주소입니다.,비정상
인천광역시 도봉구 언주2거리 (정자김오동),정상
부산광역시 송파구 서초중앙147로 (서준김강마을) 의 위치를 파악할 수 없습니다.,비정상
서울특별시 동작구 오금50가 (옥자박김동),정상
인천광역시 중구 삼성77가 (도윤이배리) 추가 정보 없음,비정상
부산광역시 영등포구 양재천로 다음주 배송 예정,비정상
서울특별시 용산구 논현335가 (춘자이백리) 추가 정보 없음,비정상
전라북도 용인시 언주가 (정순김이리),정상
인천광역시 동대문구 오금거리 다음주 배송 예정,비정상
대전광역시 구로구 서초중앙가 (수진한읍),정상
울산광역시 영등포구 양재천923길,정상
세종특별자치시 용산구 영동대길 (상호송읍),정상
경기도 부천시 원미구 역삼길 (명숙최권읍),정상
